MarketKey;platform;market_level1;market_level2;market_level3
91eef7dbc2d673a6453499870d8fda5a589b40d8;industrial;mining & quarry;rock processing;fixed crushing plant
d27d76b6db8af2d370dcd2d572eb499883296b72;undefined;agriculture;soil & crop treatment;undefined
1d5aa91bdcea73a215f48a4c84c1e803e3ad1765;sprayer & ag machines;agriculture;wine, fruit, vegetable & cane equipment;straddle (over-the-row) fruit harvester (self propelled) (olives, cherries,etc )
b4c79ac5da38f48ac1c517ee693a557834c86865;industrial;mining & quarry;rock processing;mobile screening plant
b6b9fe8d0e6a32dfe44e1773d36960bbde5466b5;basic market;environment;recycling;mobile mixer
4c82069c6887f3a6301fac53173b7ea4b48f0d0f;undefined;environment;beach;undefined
68c4a2f0c21de3099b85ab656dd2ccbf5b67c296;road machinery;construction equipment;compaction;static tandem compactor
85822309b0bbaff14fa1efb9afeb3fe3545b66bb;basic market;construction equipment;concrete;riding trowels
980176a2278846865f02e55f9900420d30928b47;basic market;environment;recycling;trommel screen
95b400fc18b342e629e96e6006f3a0470929dc17;industrial;on rail;unloading;other on rail unloading equipment
e931c6676b23421d2973038b2798365ce80efdf9;undefined;energy;power generation;undefined
0afbf08931d650eed6a17b531da9cc5690cf4560;basic market;agriculture;livestock;other livestock equipment
bda54e794562ab30afdf678ec5c645e4638b9313;undefined;on road;trailer - on road;undefined
2a1c4b1093ab7d4a377edc24f4150f5b2344d9dd;basic market;environment;snow;other snow related machines
4f788663943f11fd26cefe9051096bb6e4335dd3;undefined;material handling;forklift;undefined
8fb4c71e1c1035d48ab0bba8d135ecf56b4087f2;undefined;marine;dredging;undefined
ca05dcc0d62e0b56a394c849a080fa3fecab5166;basic market;marine;unknown segment;unknown application
ed5178060126e8cdd3f76047e2290d9782dce88e;basic market;agriculture;cereals, cotton, & feed/forage harvesting;others cereals, cotton, forage, irrigation harvesting equipment
d156c13fefbc8b972166234444dd6447e29f9ead;key market;agriculture;wine, fruit, vegetable & cane equipment;non-straddle fruit harvester (self propelled) (olives, nuts,...)
b9e8c4b2c5591cfd55b19c92ab16d97807b0aab1;basic market;on rail;railtrack infrastructure (construction or maintena;track or rail transporting / laying machine
abd73796feed2e4f2b3151293faee0d8f70019a8;key market;construction equipment;earth & rock processing (drilling, tunelling, tren;rock saw head (attachment)
56646da0742555fa536c43d02ab3f2e3749a3fd0;basic market;construction equipment;road construction & maintenance;road reclaimer / stabilizer / widener
060683b4e2bc9001d6a23276b0b3224ac1eba90f;undefined;environment;urban & turfcare;undefined
08fe5d191b0f48083f9f0837903f4ae3e0e03a2f;undefined;;;
f68e7ece796d3df2fc2e7c1c79a58c06ec957962;basic market;on rail;railtrack infrastructure (construction or maintena;railway maintenance machine
0b0372ad5aa8ef8df5e63b96ae55647ebf10e17b;road machinery;construction equipment;compaction;compactor vibratory soil compactor (1 front drum)
5d6ad89fa3edb583e11276b020718d8d0f008cd7;basic market;marine;oil, gas & telecom (boats & offshore platforms);undersea cable laying machine
2334c4783d260826ed5777909eaa7940d565be9a;basic market;construction equipment;earth & rock processing (drilling, tunelling, tren;trencher
f07303f130b22fe61d327b7b1b74b325fd894b90;basic market;agriculture;wine, fruit, vegetable & cane equipment;others wine, fruit & vegetable
c12b8d0abe1c9d0fbf75722bd82f177c0b3a89ed;basic market;agriculture;tractors & trailers;3 wheels tractor
8f74fb6101757fcae428adc9b58298545a12127f;basic market;environment;urban & turfcare;amphibious vehicles
fa855636211594a30e358694596201ba44f6991e;basic market;mining & quarry;mine infrastructure;mine grader
6974c6dce4fb4d557a36b0de0aa2e870ded5a150;key market;construction equipment;earth & rock moving;grader
fd830ae17cacc5920790ae1bbd1693fa97f1db9d;undefined;construction equipment;unknown segment;undefined
e14c714aa3fa1468011b0e7390aed1fcdf0a7013;industrial;industry;manufacturing equipment;honing machine
3ad34c6bc62a3f232ee8208073222bf5c73e6eec;basic market;on rail;unknown segment;unknown application
a8a1b518891d180052da87033b4172d96ee4d406;undefined;on road;bus (shuttle, urban, school);undefined
22a5715f61503a1060b5333355124bb4d5bfe94e;basic market;energy;unknown segment;unknown application
ec62e576ff33df9b3e90dc9727d9f3d9b3d06a3c;basic market;environment;beach;beach cleaner (comber)
