"COUNTRY","Country","INDICATOR","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","1997","1997","HA","Hectares","3","Thousands",,,63414.785,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","1998","1998","HA","Hectares","3","Thousands",,,63323.36,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","1999","1999","HA","Hectares","3","Thousands",,,62729.877,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","2000","2000","HA","Hectares","3","Thousands",,,63374.626,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","2001","2001","HA","Hectares","3","Thousands",,,53589.626,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","2002","2002","HA","Hectares","3","Thousands",,,49489.79,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","2003","2003","HA","Hectares","3","Thousands",,,54092.211,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","2004","2004","HA","Hectares","3","Thousands",,,52748.988,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","2005","2005","HA","Hectares","3","Thousands",,,53328.05,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","2006","2006","HA","Hectares","3","Thousands",,,53140.87,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","2007","2007","HA","Hectares","3","Thousands",,,54577.783,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","2008","2008","HA","Hectares","3","Thousands",,,55349.208,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","2009","2009","HA","Hectares","3","Thousands",,,54823.571,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","2010","2010","HA","Hectares","3","Thousands",,,55918.146,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","2011","2011","HA","Hectares","3","Thousands",,,57184.62,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","2012","2012","HA","Hectares","3","Thousands",,,57325.642,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","2013","2013","HA","Hectares","3","Thousands",,,57329.863,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","2014","2014","HA","Hectares","3","Thousands",,,56845.058,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","2015","2015","HA","Hectares","3","Thousands",,,55945.643,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","2016","2016","HA","Hectares","3","Thousands",,,55390.723,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","2017","2017","HA","Hectares","3","Thousands",,,56596.734,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","2018","2018","HA","Hectares","3","Thousands",,,56522.906,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","2019","2019","HA","Hectares","3","Thousands",,,55679.41,,
"CAN","Canada","TOTAGR_LAND","Total Agricultural Land area","2020","2020","HA","Hectares","3","Thousands",,,55845.207,,
"USA","United States","ORGANIC_FARMING","Organic farming","1992","1992","HA","Hectares","0","Units",,,163250,,
"USA","United States","ORGANIC_FARMING","Organic farming","1993","1993","HA","Hectares","0","Units",,,188098,,
"USA","United States","ORGANIC_FARMING","Organic farming","1994","1994","HA","Hectares","0","Units",,,225309,,
"USA","United States","ORGANIC_FARMING","Organic farming","1995","1995","HA","Hectares","0","Units",,,371459,,
"USA","United States","ORGANIC_FARMING","Organic farming","1997","1997","HA","Hectares","0","Units",,,511187,,
"USA","United States","ORGANIC_FARMING","Organic farming","2000","2000","HA","Hectares","0","Units",,,703962,,
"USA","United States","ORGANIC_FARMING","Organic farming","2001","2001","HA","Hectares","0","Units",,,844083,,
"USA","United States","ORGANIC_FARMING","Organic farming","2002","2002","HA","Hectares","0","Units",,,799038,,
"USA","United States","ORGANIC_FARMING","Organic farming","2003","2003","HA","Hectares","0","Units",,,889039,,
"USA","United States","ORGANIC_FARMING","Organic farming","2004","2004","HA","Hectares","0","Units",,,1232312,,
"USA","United States","ORGANIC_FARMING","Organic farming","2005","2005","HA","Hectares","0","Units",,,1640769,,
"USA","United States","ORGANIC_FARMING","Organic farming","2006","2006","HA","Hectares","0","Units",,,1183214,,
"USA","United States","ORGANIC_FARMING","Organic farming","2007","2007","HA","Hectares","0","Units",,,1732627,,
"USA","United States","ORGANIC_FARMING","Organic farming","2008","2008","HA","Hectares","0","Units",,,1945799,,
"USA","United States","ORGANIC_FARMING","Organic farming","2009","2009","HA","Hectares","0","Units",,,1948949,,
"USA","United States","ORGANIC_FARMING","Organic farming","2010","2010","HA","Hectares","0","Units",,,1718331,,
"USA","United States","ORGANIC_FARMING","Organic farming","2011","2011","HA","Hectares","0","Units",,,2120707,,
"USA","United States","ORGANIC_FARMING","Organic farming","2014","2014","HA","Hectares","0","Units",,,1651888,,
"USA","United States","ORGANIC_FARMING","Organic farming","2015","2015","HA","Hectares","0","Units",,,2159426,,
"USA","United States","ORGANIC_FARMING","Organic farming","2016","2016","HA","Hectares","0","Units",,,2031317.962,,
"USA","United States","ORGANIC_FARMING","Organic farming","2019","2019","HA","Hectares","0","Units",,,2223858,,
"ITA","Italy","ARABLE_PERMANENTCROP","Arable and Permanent Crop Land","1990","1990","HA","Hectares","3","Thousands",,,13278.1,,
"ITA","Italy","ARABLE_PERMANENTCROP","Arable and Permanent Crop Land","1991","1991","HA","Hectares","3","Thousands",,,13030.7,,
"ITA","Italy","ARABLE_PERMANENTCROP","Arable and Permanent Crop Land","1992","1992","HA","Hectares","3","Thousands",,,12528.9,,
"ITA","Italy","ARABLE_PERMANENTCROP","Arable and Permanent Crop Land","1993","1993","HA","Hectares","3","Thousands",,,11933.2,,
"ITA","Italy","ARABLE_PERMANENTCROP","Arable and Permanent Crop Land","1994","1994","HA","Hectares","3","Thousands",,,11845.5,,
"ITA","Italy","ARABLE_PERMANENTCROP","Arable and Permanent Crop Land","1995","1995","HA","Hectares","3","Thousands",,,11746,,
"ITA","Italy","ARABLE_PERMANENTCROP","Arable and Permanent Crop Land","1996","1996","HA","Hectares","3","Thousands",,,11328.6,,
"ITA","Italy","ARABLE_PERMANENTCROP","Arable and Permanent Crop Land","1997","1997","HA","Hectares","3","Thousands",,,11297.6,,
"ITA","Italy","ARABLE_PERMANENTCROP","Arable and Permanent Crop Land","1998","1998","HA","Hectares","3","Thousands",,,11229.3,,
"ITA","Italy","ARABLE_PERMANENTCROP","Arable and Permanent Crop Land","1999","1999","HA","Hectares","3","Thousands",,,11388.4,,
"ITA","Italy","ARABLE_PERMANENTCROP","Arable and Permanent Crop Land","2000","2000","HA","Hectares","3","Thousands",,,11248.3,,
"ITA","Italy","ARABLE_PERMANENTCROP","Arable and Permanent Crop Land","2001","2001","HA","Hectares","3","Thousands",,,11071.6,,
"ITA","Italy","ARABLE_PERMANENTCROP","Arable and Permanent Crop Land","2002","2002","HA","Hectares","3","Thousands",,,11005,,
"ITA","Italy","ARABLE_PERMANENTCROP","Arable and Permanent Crop Land","2003","2003","HA","Hectares","3","Thousands",,,10682.8,,
